f1,f2,f3,f4,f5,f6
0.000850637,0.004148376,0.655784665,0.021032138,0.967472181,10.34068051
0.095268012,0.00737973,0.040442525,0.650517591,0.885132193,9.954112836
0.304741735,0.28784158,0,0.677406673,0.108361178,10.26137813
0.001799005,9.92E-05,0.022218847,0.013094553,0.003441341,11.95609762
0.005675803,0.278333587,0.3866184,0.001739015,0.093433892,11.21308184
0.663731151,0.001295226,0.669945166,0.655892591,0.036067625,10.02960623
0.85834577,0.927694115,0.041551961,0.076913204,0.281489307,8.224203322
0.383652825,3.50E-05,0.322000981,0.000439237,0.381909603,11.22796277
0.382827901,0.035099973,0.65627966,3.03E-05,0.009160763,11.16033294
0.821873597,0.000746153,0.317706871,0,0.8470476,8.313384364
0.010402439,0,0,0.011916086,0.691199704,11.13446693
0.976292226,0.031230746,0.032344826,0.024056696,0.328215347,10.35464877
0,0,0.848977589,0.018604836,0.002766416,10.64565417
0.025019502,0.911351739,0.829364689,0.526095287,0,8.716377012
0.712483607,6.48E-05,0.013934434,0,0.103453857,10.80267777
0.005112491,0,0.059110729,0.686619906,0.110682486,10.90190793
0.037826633,0.96098875,0.004915096,5.85E-07,0.007356443,11.15835995
0,0.00733067,0.004461789,0.320190024,0,11.63468186
0.613771941,0.009987792,0,0,0.857736626,9.992141017
